Tokens sorted by index with attention values (scaled to sum 350):
Position: 222, Token: 大, Attention Received: 2.0435
Position: 223, Token: ，, Attention Received: 1.9237
Position: 224, Token: 其, Attention Received: 1.0511
Position: 225, Token: 行, Attention Received: 1.0968
Position: 226, Token: 为, Attention Received: 0.9152
Position: 227, Token: 触, Attention Received: 1.1394
Position: 228, Token: 犯, Attention Received: 0.8484
Position: 229, Token: 了, Attention Received: 0.8916
Position: 230, Token: 《, Attention Received: 0.7326
Position: 231, Token: 中, Attention Received: 0.5419
Position: 232, Token: 华, Attention Received: 0.5598
Position: 233, Token: 人, Attention Received: 0.4477
Position: 234, Token: 民, Attention Received: 0.5496
Position: 235, Token: 共, Attention Received: 0.7916
Position: 236, Token: 和, Attention Received: 0.6792
Position: 237, Token: 国, Attention Received: 0.6425
Position: 238, Token: 刑, Attention Received: 0.8920
Position: 239, Token: 法, Attention Received: 0.7097
Position: 240, Token: 》, Attention Received: 1.0442
Position: 241, Token: ××, Attention Received: 1.3391
Position: 242, Token: ，, Attention Received: 1.9530
Position: 243, Token: 被, Attention Received: 0.6283
Position: 244, Token: 告, Attention Received: 0.5070
Position: 245, Token: 人, Attention Received: 0.5840
Position: 246, Token: 钱, Attention Received: 0.5974
Position: 247, Token: 某, Attention Received: 0.5199
Position: 248, Token: 案, Attention Received: 0.5840
Position: 249, Token: 发, Attention Received: 1.0101
Position: 250, Token: 后, Attention Received: 0.9024
Position: 251, Token: 自, Attention Received: 0.7528
Position: 252, Token: 首, Attention Received: 1.2637
Position: 253, Token: ，, Attention Received: 1.5718
Position: 254, Token: 适, Attention Received: 1.0588
Position: 255, Token: 用, Attention Received: 0.8208
Position: 256, Token: 《, Attention Received: 0.7701
Position: 257, Token: 中, Attention Received: 0.5545
Position: 258, Token: 华, Attention Received: 0.5704
Position: 259, Token: 人, Attention Received: 0.3977
Position: 260, Token: 民, Attention Received: 0.4936
Position: 261, Token: 共, Attention Received: 0.7859
Position: 262, Token: 和, Attention Received: 0.6595
Position: 263, Token: 国, Attention Received: 0.6632
Position: 264, Token: 刑, Attention Received: 0.7189
Position: 265, Token: 法, Attention Received: 0.7623
Position: 266, Token: 》, Attention Received: 1.2314
Position: 267, Token: ××, Attention Received: 1.5113
Position: 268, Token: #, Attention Received: 1.3156
Position: 269, Token: #, Attention Received: 1.2667
Position: 270, Token: ×, Attention Received: 1.4629
Position: 271, Token: #, Attention Received: 1.5812
Position: 272, Token: #, Attention Received: 1.7255
Position: 273, Token: ×, Attention Received: 1.5264
Position: 274, Token: 规, Attention Received: 1.0859
Position: 275, Token: 定, Attention Received: 0.8645
Position: 276, Token: 处, Attention Received: 1.1376
Position: 277, Token: 罚, Attention Received: 1.3939
Position: 278, Token: 。, Attention Received: 2.0620
Position: 279, Token: 公, Attention Received: 0.7801
Position: 280, Token: 诉, Attention Received: 0.8954
Position: 281, Token: 机, Attention Received: 0.6241
Position: 282, Token: 关, Attention Received: 0.6350
Position: 283, Token: 提, Attention Received: 0.8342
Position: 284, Token: 供, Attention Received: 0.7876
Position: 285, Token: 了, Attention Received: 0.8665
Position: 286, Token: 相, Attention Received: 0.7774
Position: 287, Token: 关, Attention Received: 0.5047
Position: 288, Token: 证, Attention Received: 1.0116
Position: 289, Token: 据, Attention Received: 0.9522
Position: 290, Token: 证, Attention Received: 0.9832
Position: 291, Token: 实, Attention Received: 0.7112
Position: 292, Token: 。, Attention Received: 1.6267
